Course Code Start End Location Days
ACTURSCI 1021B 08:30 09:30 NCB-117 MWF
ACTURSCI 2053 11:30 12:30 NCB-113 MWF
ACTURSCI 2053 09:30 11:30 SEB-1059 T
ACTURSCI 2053 10:30 11:30 SEB-1059 H
ACTURSCI 2053 10:30 12:30 KC-W168 T
ACTURSCI 2053 11:30 12:30 KC-W166 H
ACTURSCI 2053 13:30 14:30 KC-SA151 T
ACTURSCI 2053 13:30 15:30 KC-SA151 H
ACTURSCI 2427B 12:30 13:30 NCB-113 MWF
ACTURSCI 2427B 14:30 15:30 NS-7 T
ACTURSCI 2553A 08:30 09:30 WSC-55 T
ACTURSCI 2553A 08:30 10:30 WSC-55 H
ACTURSCI 2553A 17:30 18:30 WSC-55 M
ACTURSCI 3424B 09:30 10:30 WSC-240 MWF
ACTURSCI 3429A 10:30 11:30 WSC-240 MWF
ACTURSCI 3431B 08:30 09:30 WSC-240 MWF
ACTURSCI 4426F 08:30 10:30 WSC-248 TH
ACTURSCI 4823A 14:30 15:30 WSC-240 M
ACTURSCI 4823A 14:30 16:30 WSC-240 F
ACTURSCI 4824A 11:30 13:30 WSC-240 T
ACTURSCI 4824A 11:30 12:30 WSC-240 H
ACTURSCI 4960F 12:30 15:30 WSC-248 H
AMERICAN 1020 15:30 17:30 SEB-2202 M
AMERICAN 1020 13:30 14:30 WL-259 T
AMERICAN 1020 15:30 16:30 STVH-1155 T
AMERICAN 1020 12:30 13:30 WL-259 W
AMERICAN 2200E 14:30 17:30 STVH-2166 H
