Course Code Start End Location Days
ACTURSCI 1021B 08:30 09:30 P&AB-148 MWF
ACTURSCI 2427B 12:30 13:30 NCB-113 MWF
ACTURSCI 2427B 14:30 15:30 NS-7 T
ACTURSCI 3424B 09:30 10:30 WSC-240 MWF
ACTURSCI 3431B 08:30 09:30 WSC-240 MWF
ANATCELL 4411B 12:30 14:30 MSB-447 M
ANATCELL 4411B 10:30 11:30 MSB-447 W
ANATCELL 4452B 10:30 12:30 DSB-2016 M
ANATCELL 4452B 11:30 13:30 MSB-193 W
ANATCELL 4461B 09:30 10:30 MSB-190 M
ANATCELL 4461B 09:30 12:30 NS-7 F
ANTHRO 1025G 19:00 22:00 SSC-2024 M
ANTHRO 1026G 15:30 18:30 UCC-56 W
ANTHRO 1027B 13:30 15:30 SSC-2024 M
ANTHRO 1027B 15:30 16:30 SSC-3102 T
ANTHRO 1027B 16:30 17:30 SSC-3102 T
ANTHRO 1027B 17:30 18:30 SSC-3102 T
ANTHRO 2217G 13:30 16:30 TH-3102 T
ANTHRO 2222G 18:30 21:30 SSC-3018 T
ANTHRO 2229G 10:30 12:30 SSC-2257 M
ANTHRO 2229G 10:30 11:30 SSC-2257 W
ANTHRO 2234G 11:30 14:30 SSC-2257 H
ANTHRO 2239B 14:30 17:30 3M-3250 W
ANTHRO 2246G 13:30 15:30 AHB-1B04 T
ANTHRO 2246G 13:30 14:30 AHB-1B04 H
ANTHRO 2247B 18:30 21:30 SSC-3024 W
ANTHRO 2261G 13:30 16:30 SSC-3102 M
ANTHRO 3237B 09:30 10:30 SSC-3102 T
ANTHRO 3237B 11:30 13:30 SSC-3102 W
ANTHRO 3305G 14:30 17:30 UCC-54B M
ANTHRO 3310B 13:30 16:30 SSC-2257 T
ANTHRO 3311G 09:30 12:30 SSC-2257 T
ANTHRO 3396B 14:30 17:30 SSC-2257 H
APPLMATH 1201B 12:30 13:30 NCB-101 MWF
APPLMATH 1411B 08:30 09:30 MC-110 MWF
APPLMATH 1411B 10:30 12:30 AHB-1B08 T
APPLMATH 1411B 09:30 11:30 SEB-2099 H
APPLMATH 1411B 16:30 18:30 SEB-2099 T
APPLMATH 1411B 09:30 11:30 SEB-2099 T
APPLMATH 2270B 08:30 09:30 UCC-56 MWF
APPLMATH 2270B 11:30 12:30 UCC-56 F
APPLMATH 2276B 08:30 09:30 NSC-1 MWF
APPLMATH 2276B 10:30 11:30 SSC-2050 MWF
APPLMATH 2276B 09:30 10:30 SSC-3022 T
APPLMATH 2276B 10:30 11:30 HSB-236 M
APPLMATH 2276B 15:30 16:30 SSC-2024 H
