Course Code Start End Location Days
ACTURSCI 1021B 08:30 09:30 NCB-117 MWF
ACTURSCI 2053 11:30 12:30 NCB-113 MWF
ACTURSCI 2053 09:30 11:30 SEB-1059 T
ACTURSCI 2053 10:30 11:30 SEB-1059 H
ACTURSCI 2053 10:30 12:30 KC-W168 T
ACTURSCI 2053 11:30 12:30 KC-W166 H
ACTURSCI 2053 13:30 14:30 KC-SA151 T
ACTURSCI 2053 13:30 15:30 KC-SA151 H
ACTURSCI 2427B 12:30 13:30 NCB-113 MWF
ACTURSCI 2427B 14:30 15:30 NS-7 T
ACTURSCI 2553A 08:30 09:30 WSC-55 T
ACTURSCI 2553A 08:30 10:30 WSC-55 H
ACTURSCI 2553A 17:30 18:30 WSC-55 M
ACTURSCI 3424B 09:30 10:30 WSC-240 MWF
ACTURSCI 3429A 10:30 11:30 WSC-240 MWF
ACTURSCI 3431B 08:30 09:30 WSC-240 MWF
ACTURSCI 4426F 08:30 10:30 WSC-248 TH
ACTURSCI 4823A 14:30 15:30 WSC-240 M
ACTURSCI 4823A 14:30 16:30 WSC-240 F
ACTURSCI 4824A 11:30 13:30 WSC-240 T
ACTURSCI 4824A 11:30 12:30 WSC-240 H
ACTURSCI 4960F 12:30 15:30 WSC-248 H
AMERICAN 1020 15:30 17:30 SEB-2202 M
AMERICAN 1020 13:30 14:30 WL-259 T
AMERICAN 1020 15:30 16:30 STVH-1155 T
AMERICAN 1020 12:30 13:30 WL-259 W
AMERICAN 2200E 14:30 17:30 STVH-2166 H
ANATCELL 2221 14:30 15:30 WSC-55 TH
ANATCELL 2221 15:30 17:30 DSB-4001 T
ANATCELL 2221 15:30 17:30 DSB-4001 H
ANATCELL 3309 11:30 12:30 SEB-2200 TH
ANATCELL 3309 15:30 18:30 MSB-113 M
ANATCELL 3309 12:30 15:30 MSB-113 M
ANATCELL 3319 09:30 10:30 NCB-113 TH
ANATCELL 3319 09:30 10:30 DSB-2005A F
ANATCELL 3319 10:30 11:30 DSB-2005A F
ANATCELL 3319 11:30 12:30 DSB-2005A F
ANATCELL 3319 13:30 14:30 DSB-2005A F
ANATCELL 3319 14:30 15:30 DSB-2005A F
ANATCELL 3319 15:30 16:30 DSB-2005A F
ANATCELL 4410A 12:30 14:30 MSB-447 M
ANATCELL 4410A 10:30 11:30 MSB-447 W
ANATCELL 4411B 12:30 14:30 MSB-447 M
ANATCELL 4411B 10:30 11:30 MSB-447 W
ANATCELL 4429A 09:30 10:30 DSB-2016 MW
ANATCELL 4429A 09:30 10:30 DSB-2016 F
ANATCELL 4451F 11:30 12:30 P&AB-106 MW
ANATCELL 4451F 10:30 12:30 MSB-190 F
ANATCELL 4452B 10:30 12:30 DSB-2016 M
ANATCELL 4452B 11:30 13:30 MSB-193 W
ANATCELL 4461B 09:30 10:30 MSB-190 M
ANATCELL 4461B 09:30 12:30 NS-7 F
ANTHRO 1020E 12:30 14:30 B&GS-0153 T
ANTHRO 1020E 13:30 14:30 SSC-3010 W
ANTHRO 1020E 14:30 15:30 SSC-3010 W
ANTHRO 1020E 15:30 16:30 SSC-3010 W
ANTHRO 1020E 16:30 17:30 SSC-3010 W
ANTHRO 1020E 14:30 16:30 B&GS-0153 T
ANTHRO 1025F 15:30 18:30 B&GS-0153 W
ANTHRO 1025G 19:00 22:00 SSC-2024 M
ANTHRO 1026F 19:00 22:00 SSC-2032 M
ANTHRO 1026G 15:30 18:30 UCC-56 W
ANTHRO 1027A 18:30 20:30 SEB-2200 T
ANTHRO 1027A 16:30 17:30 SSC-3010 H
ANTHRO 1027A 17:30 18:30 SSC-3010 H
ANTHRO 1027A 18:30 19:30 SSC-3010 H
ANTHRO 1027B 13:30 15:30 SSC-2024 M
ANTHRO 1027B 15:30 16:30 SSC-3102 T
ANTHRO 1027B 16:30 17:30 SSC-3102 T
ANTHRO 1027B 17:30 18:30 SSC-3102 T
ANTHRO 2203F 10:30 12:30 SH-3315 T
ANTHRO 2203F 11:30 12:30 SH-3315 H
ANTHRO 2217G 13:30 16:30 TH-3102 T
ANTHRO 2218F 19:00 22:00 KB-K203 W
ANTHRO 2219F 14:30 17:30 UCC-58 H
ANTHRO 2222G 18:30 21:30 SSC-3018 T
ANTHRO 2226A 14:30 17:30 SSC-2257 H
ANTHRO 2229G 10:30 12:30 SSC-2257 M
ANTHRO 2229G 10:30 11:30 SSC-2257 W
ANTHRO 2233F 10:30 12:30 SSC-2257 M
ANTHRO 2233F 10:30 11:30 SSC-2257 W
ANTHRO 2234G 11:30 14:30 SSC-2257 H
ANTHRO 2239B 14:30 17:30 3M-3250 W
ANTHRO 2245F 13:30 16:30 TC-309 M
