Course Code Start End Location Days
ACTURSCI 2553A 08:30 09:30 WSC-55 T
ACTURSCI 2553A 08:30 10:30 WSC-55 H
ACTURSCI 2553A 17:30 18:30 WSC-55 M
ACTURSCI 3429A 10:30 11:30 WSC-240 MWF
ACTURSCI 4426F 08:30 10:30 WSC-248 TH
ACTURSCI 4823A 14:30 15:30 WSC-240 M
ACTURSCI 4823A 14:30 16:30 WSC-240 F
ACTURSCI 4824A 11:30 13:30 WSC-240 T
ACTURSCI 4824A 11:30 12:30 WSC-240 H
ACTURSCI 4960F 12:30 15:30 WSC-248 H
ANATCELL 4410A 12:30 14:30 MSB-447 M
ANATCELL 4410A 10:30 11:30 MSB-447 W
ANATCELL 4429A 09:30 10:30 DSB-2016 MW
ANATCELL 4429A 09:30 10:30 DSB-2016 F
ANATCELL 4451F 11:30 12:30 P&AB-106 MW
ANATCELL 4451F 10:30 12:30 MSB-190 F
ANTHRO 1025F 15:30 18:30 B&GS-0153 W
ANTHRO 1026F 19:00 22:00 SSC-2032 M
ANTHRO 1027A 18:30 20:30 SEB-2200 T
ANTHRO 1027A 16:30 17:30 SSC-3010 H
ANTHRO 1027A 17:30 18:30 SSC-3010 H
ANTHRO 1027A 18:30 19:30 SSC-3010 H
ANTHRO 2203F 10:30 12:30 SH-3315 T
ANTHRO 2203F 11:30 12:30 SH-3315 H
ANTHRO 2218F 19:00 22:00 KB-K203 W
ANTHRO 2219F 14:30 17:30 UCC-58 H
ANTHRO 2226A 14:30 17:30 SSC-2257 H
ANTHRO 2233F 10:30 12:30 SSC-2257 M
ANTHRO 2233F 10:30 11:30 SSC-2257 W
ANTHRO 2245F 13:30 16:30 TC-309 M
ANTHRO 2248A 18:30 21:30 UCC-37 W
ANTHRO 2249F 12:30 14:30 SSC-3026 T
ANTHRO 2249F 12:30 13:30 SSC-3026 H
ANTHRO 2262F 10:30 12:30 CHB-9 M
ANTHRO 2262F 10:30 11:30 CHB-9 W
ANTHRO 2265F 14:30 17:30 SSC-2257 T
ANTHRO 3309F 12:30 13:30 TC-201 M
ANTHRO 3309F 11:30 13:30 TC-201 W
ANTHRO 3331F 13:30 16:30 SSC-3102 T
ANTHRO 3335F 09:30 12:30 TH-3101 T
ANTHRO 3336F 09:30 12:30 SSC-2257 T
ANTHRO 3338F 19:00 22:00 SSC-2257 W
APPLMATH 1411A 08:30 09:30 NSC-1 MWF
APPLMATH 1411A 10:30 12:30 TC-205 T
APPLMATH 1411A 08:30 10:30 SSC-2036 H
APPLMATH 1411A 14:30 16:30 SEB-2099 T
APPLMATH 2270A 08:30 09:30 SSC-2050 MWF
APPLMATH 2270A 08:30 09:30 MC-110 MWF
APPLMATH 2270A 09:30 10:30 NSC-1 MWF
APPLMATH 2270A 12:30 13:30 SSC-2036 F
APPLMATH 2270A 10:30 11:30 SEB-2100 F
APPLMATH 2270A 11:30 12:30 UCC-37 F
APPLMATH 2270A 12:30 13:30 SSC-3022 F
APPLMATH 2270A 10:30 11:30 SEB-2202 F
APPLMATH 2270A 11:30 12:30 SEB-2202 F
APPLMATH 2270A 15:30 16:30 SSC-2036 W
APPLMATH 2402A 12:30 13:30 MC-105B MWF
APPLMATH 2402A 08:30 09:30 HSB-14 F
APPLMATH 2402A 09:30 10:30 HSB-13 H
APPLMATH 2402A 09:30 10:30 HSB-14 F
APPLMATH 3413A 12:30 13:30 SEB-1200 MWF
APPLMATH 3415A 11:30 12:30 SEB-2200 MWF
APPLMATH 3415A 13:30 14:30 SEB-1059 H
APPLMATH 3611F 08:30 09:30 MC-17 MWF
APPLMATH 3615A 13:30 15:30 UCC-53 T
APPLMATH 3615A 13:30 14:30 UCC-53 H
APPLMATH 3811A 09:30 10:30 MC-17 MWF
APPLMATH 3815A 13:30 14:30 SEB-2202 MWF
APPLMATH 4615F 10:30 11:30 MC-260 M
APPLMATH 4615F 11:30 12:30 MC-204 H
APPLMATH 4615F 10:30 11:30 MC-15B H
ARTHUM 3391F 10:30 13:30 VAC-249 T
ARTHUM 3392F 14:30 17:30 TC-203 M
ASTRONOM 2021A 19:00 22:00 NS-145 M
ASTRONOM 2801A 14:30 16:30 P&AB-117 T
ASTRONOM 2801A 14:30 15:30 P&AB-148 H
ASTRONOM 2801A 13:30 14:30 P&AB-148 H
ASTRONOM 3303A 09:30 10:30 P&AB-34 T
ASTRONOM 3303A 09:30 11:30 P&AB-34 H
BIBLSTUD 5110A 09:30 11:30 HC-W106 M
BIBLSTUD 5110A 09:30 10:30 HC-W106 T
BIBLSTUD 5310A 13:30 16:30 HC-W8 H
BIOCHEM 2280A 14:30 15:30 NCB-101 MWF
BIOCHEM 2280A 15:30 16:30 NCB-101 THF
